Safari Mobile 5.0|Version/5.0.2Mobile/8G4Safari/6533.18.5|
Safari Mobile 5.0|Safari/6533.18.5|
Safari Mobile 4.0|Safari/6531.22.7|
Safari Mobile 4.0|Safari/531.21.10|
Safari Mobile 4.0|Version/4.0MobileSafari/530.17|
Safari Mobile 4.0|MobileSafari/530.17|
Safari Mobile 4.0|MobileSafari/534.24|
Safari Mobile 4.0|Mobile/7D11Safari/528.16|
Safari Mobile 4.0|Safari/528.16|
Safari Mobile 3.1|Version/3.1.1Mobile/5H11Safari/525.20|
Safari Mobile 3.1|Version/3.1.1Mobile/5H11aSafari/525.20|
Safari Mobile 3|Version/3.0Mobile/1A543aSafari/419.3|
Safari Mobile 3|MobileSafari/525.20.1|
Safari Mobile 3|MobileSafari/533.1|
Safari Mobile|MobileSafari|
Safari 5.2|Version/5.2 Safari/535.18.5|
Safari 5.1|Version/5.1Safari/534.50|
Safari 5.1|Version/5.1Safari/534.48.3|
Safari 5.0|Version/5.0.6Safari/533.22.3|
Safari 5.0|Version/5.0.5Safari/533.21.1|
Safari 5.0|Version/5.0.4Safari/533.20.27|
Safari 5.0|Version/5.0.3Safari/533.19.4|
Safari 5.0|Version/5.0.2Safari/533.18.54|
Safari 4.1|Version/4.1.3Safari/533.19.4|
Safari 4.0|Version/4.0.5 Safari/531.22.7|
Safari 4.0|Version/4.0.3Safari/531.9|
Safari 4.0|Safari/533.21.1|
Safari 4.0|Version/4.0Safari/534.13|
Safari 3.1|Safari/525.13|
Safari|Safari|
Safari|CFNetwork|
Safari|AppleSyndication|
Safari|AppleWebKit|
Slim Browser|SlimBrowser|
Playstation|PLAYSTATION|
Playstation|PlayStationPortable|
BlackBerry|BlackBerry|
Vienna|Vienna|
Mozilla|Mozilla|
Mozilla Minefield|Minefield|
Netscape|Netscape|
